deltaTime(s) 	 Time(s) 	 Roll(rad) 	 Pitch(rad) 	 Yaw(rad) 	 RollSpeed(rad/s) 	 PitchSpeed(rad/s) 	 YawSpeed(rad/s) 
0.03036094 	 21.95377135 	 0.00813060 	  0.00878913 	  2.68229461 	  -0.00038999 	  -0.00138289 	  0.00029559 
0.16260695 	 22.11637831 	 0.00817398 	  0.00884451 	  2.68232083 	  0.00018007 	  0.00028775 	  0.00190406 
0.23856521 	 22.35494351 	 0.00809654 	  0.00889436 	  2.68223166 	  -0.00010528 	  -0.00018658 	  0.00166930 
0.41267824 	 22.76762176 	 0.00809258 	  0.00888764 	  2.68214917 	  -0.00043403 	  -0.00009280 	  0.00125450 
0.37186217 	 23.13948393 	 0.00809816 	  0.00884543 	  2.68209028 	  -0.00114695 	  -0.00076514 	  0.00041139 
0.37255645 	 23.51204038 	 0.00807740 	  0.00888744 	  2.68202925 	  -0.00010042 	  -0.00002110 	  0.00109266 
0.29567575 	 23.80771613 	 0.00808357 	  0.00893450 	  2.68196917 	  0.00023433 	  0.00027417 	  0.00053670 
0.25481796 	 24.06253409 	 0.00810212 	  0.00888925 	  2.68195677 	  -0.00047407 	  -0.00068754 	  0.00008189 
0.35811496 	 24.42064905 	 0.00809756 	  0.00887721 	  2.68192101 	  -0.00032469 	  -0.00132164 	  0.00143828 
0.37186408 	 24.79251313 	 0.00813359 	  0.00886814 	  2.68186426 	  -0.00092332 	  -0.00075343 	  -0.00100088 
0.37703085 	 25.16954398 	 0.00810845 	  0.00892553 	  2.68183279 	  -0.00012514 	  -0.00036790 	  -0.00030357 
0.58000898 	 25.74955297 	 0.00810735 	  0.00893773 	  2.68175578 	  -0.00040105 	  -0.00042886 	  -0.00240323 
0.63973260 	 26.38928556 	 0.00814450 	  0.00887660 	  2.68172932 	  0.00009512 	  -0.00137535 	  -0.00017109 
0.41296649 	 26.80225205 	 0.00813820 	  0.00888987 	  2.68160963 	  -0.00004969 	  -0.00031872 	  -0.00088177 
0.38749933 	 27.18975139 	 0.00824331 	  0.00886433 	  2.68150115 	  0.00058598 	  0.00048466 	  -0.00155227 
0.39387131 	 27.58362269 	 0.00829606 	  0.00891404 	  2.68146515 	  0.00089925 	  -0.00031173 	  -0.00043070 
0.39736176 	 27.98098445 	 0.00834692 	  0.00897761 	  2.68145108 	  0.00023296 	  -0.00029059 	  0.00061298 
0.36647558 	 28.34746003 	 0.00835447 	  0.00903611 	  2.68139839 	  -0.00024848 	  -0.00004184 	  0.00064461 
0.32142901 	 28.66888905 	 0.00839189 	  0.00904302 	  2.68135190 	  -0.00007237 	  -0.00047718 	  -0.00017934 
0.42262197 	 29.09151101 	 0.00841590 	  0.00903992 	  2.68127871 	  -0.00102862 	  -0.00101448 	  -0.00033076 
0.48397422 	 29.57548523 	 0.00848042 	  0.00910016 	  2.68126392 	  -0.00080041 	  -0.00085512 	  0.00035052 
0.37891889 	 29.95440412 	 0.00849841 	  0.00909401 	  2.68120670 	  -0.00029538 	  0.00098770 	  -0.00019136 
0.00471330 	 29.95911741 	 0.00851108 	  0.00912945 	  2.68113589 	  0.00009250 	  -0.00064653 	  0.00129620 
0.00529552 	 29.96441293 	 0.00859516 	  0.00918382 	  2.68114686 	  0.00012874 	  0.00032083 	  0.00086008 
0.00499296 	 29.96940589 	 0.00861938 	  0.00917125 	  2.68113780 	  0.00092030 	  0.00005668 	  -0.00023387 
0.00454807 	 29.97395396 	 0.00855399 	  0.00912089 	  2.68111897 	  0.00046815 	  -0.00071284 	  -0.00052378 
0.00457954 	 29.97853351 	 0.00851247 	  0.00907001 	  2.68103290 	  -0.00030109 	  -0.00043713 	  -0.00108250 
0.00520015 	 29.98373365 	 0.00848405 	  0.00903976 	  2.68099332 	  -0.00175358 	  -0.00181713 	  -0.00029558 
0.00460768 	 29.98834133 	 0.00846264 	  0.00903864 	  2.68096590 	  -0.00054957 	  -0.00121281 	  -0.00034953 
0.00452518 	 29.99286652 	 0.00845636 	  0.00911261 	  2.68088770 	  -0.00091512 	  0.00035476 	  -0.00185057 
0.00420880 	 29.99707532 	 0.00843061 	  0.00909446 	  2.68091106 	  -0.00041974 	  -0.00147780 	  0.00095813 
0.00423598 	 30.00131130 	 0.00835537 	  0.00914247 	  2.68087554 	  0.00007611 	  0.00015216 	  -0.00006837 
0.00446892 	 30.00578022 	 0.00836032 	  0.00915722 	  2.68085480 	  0.00036679 	  -0.00066734 	  0.00043239 
0.00417042 	 30.00995064 	 0.00830647 	  0.00916956 	  2.68078184 	  0.00019192 	  0.00079346 	  0.00127522 
0.00464988 	 30.01460052 	 0.00831312 	  0.00916818 	  2.68070650 	  -0.00024479 	  -0.00047281 	  0.00024258 
0.00420403 	 30.01880455 	 0.00832923 	  0.00919634 	  2.68074751 	  0.00087619 	  -0.00039012 	  0.00079140 
0.00483108 	 30.02363563 	 0.00832892 	  0.00922779 	  2.68070769 	  -0.00076111 	  -0.00062406 	  -0.00037799 
0.00476336 	 30.02839899 	 0.00826966 	  0.00926917 	  2.68069196 	  -0.00052459 	  -0.00172605 	  -0.00083498 
0.00471210 	 30.03311110 	 0.00823468 	  0.00929265 	  2.68067122 	  -0.00062184 	  0.00094802 	  -0.00018601 
0.00463223 	 30.03774333 	 0.00819413 	  0.00924573 	  2.68064213 	  0.00040682 	  -0.00096167 	  0.00021349 
0.00501680 	 30.04276013 	 0.00815426 	  0.00921833 	  2.68057656 	  -0.00106714 	  -0.00211023 	  -0.00079846 
0.00465107 	 30.04741120 	 0.00818873 	  0.00924958 	  2.68047190 	  -0.00018330 	  -0.00078470 	  -0.00034091 
0.00462127 	 30.05203247 	 0.00820365 	  0.00927929 	  2.68040895 	  -0.00038967 	  0.00040263 	  -0.00224209 
0.00463367 	 30.05666614 	 0.00823001 	  0.00924640 	  2.68040943 	  0.00089353 	  -0.00018500 	  0.00096420 
0.00488329 	 30.06154943 	 0.00814196 	  0.00921363 	  2.68040991 	  0.00026281 	  0.00125921 	  -0.00026217 
0.00467467 	 30.06622410 	 0.00811938 	  0.00918079 	  2.68036962 	  0.00022873 	  -0.00103980 	  0.00118572 
0.00459170 	 30.07081580 	 0.00807188 	  0.00911131 	  2.68030715 	  -0.00066606 	  -0.00070987 	  0.00062287 
0.00460362 	 30.07541943 	 0.00807337 	  0.00909156 	  2.68028402 	  0.00042720 	  -0.00044768 	  0.00024104 
0.00489902 	 30.08031845 	 0.00804663 	  0.00898555 	  2.68028736 	  0.00089298 	  -0.00087224 	  -0.00051220 
0.00438190 	 30.08470035 	 0.00801589 	  0.00894531 	  2.68019247 	  0.00069073 	  -0.00039678 	  -0.00105112 
0.00396848 	 30.08866882 	 0.00791674 	  0.00888378 	  2.68015504 	  -0.00081227 	  -0.00097476 	  -0.00098592 
0.00404882 	 30.09271765 	 0.00786614 	  0.00883198 	  2.68014646 	  -0.00003195 	  -0.00020887 	  -0.00022291 
0.00424075 	 30.09695840 	 0.00785250 	  0.00882517 	  2.68017697 	  -0.00094620 	  -0.00030403 	  0.00065302 
0.00396132 	 30.10091972 	 0.00785917 	  0.00880954 	  2.68015265 	  -0.00067245 	  -0.00014161 	  0.00208772 
0.00392509 	 30.10484481 	 0.00781904 	  0.00886255 	  2.68008947 	  -0.00132352 	  0.00055279 	  0.00061450 
