deltaTime(s);Time(s);Roll(rad);Pitch(rad);Yaw(rad);RollSpeed(rad/s);PitchSpeed(rad/s);YawSpeed(rad/s) 
0.25455308;25.41668034;-0.00506697;0.00403362;-0.02188555;-0.00079305;-0.00010686;0.00119827 
0.24546671;25.66214705;-0.00507022;0.00406332;-0.02174278;-0.00060086;0.00046478;0.00153126 
0.24996781;25.91211486;-0.00502778;0.00402160;-0.02171227;-0.00043586;-0.00004665;0.00170481 
0.26494765;26.17706251;-0.00511407;0.00406755;-0.02158245;-0.00048582;-0.00091514;0.00155658 
0.24058318;26.41764569;-0.00512503;0.00410822;-0.02147785;-0.00013061;0.00013703;0.00102504 
0.25638247;26.67402816;-0.00516168;0.00408245;-0.02141012;-0.00077800;-0.00067538;0.00068562 
0.24245501;26.91648316;-0.00515093;0.00413613;-0.02135163;-0.00021779;-0.00060432;0.00158768 
0.25549865;27.17198181;-0.00514198;0.00415888;-0.02126713;0.00055435;-0.00030520;0.00124491 
0.24483752;27.41681933;-0.00511570;0.00420664;-0.02115561;-0.00009435;-0.00036594;0.00258857 
0.25309682;27.66991615;-0.00513836;0.00424972;-0.02112655;-0.00083513;-0.00158603;0.00146563 
0.25264478;27.92256093;-0.00512630;0.00435945;-0.02106139;-0.00008875;0.00093066;0.00202733 
0.25664258;28.17920351;-0.00512312;0.00437001;-0.02104180;-0.00038136;-0.00072987;-0.00247932 
0.25344896;28.43265247;-0.00507030;0.00439818;-0.02079341;-0.00017194;-0.00063975;0.00081594 
0.25295234;28.68560481;-0.00507429;0.00443052;-0.02069296;0.00006343;-0.00040231;0.00070495 
0.25361633;28.93922114;-0.00506784;0.00445764;-0.02070997;0.00006879;-0.00083166;0.00162012 
0.25747395;29.19669509;-0.00502572;0.00450055;-0.02061350;-0.00055991;-0.00138880;0.00102281 
0.25445628;29.45115137;-0.00502540;0.00455463;-0.02052248;-0.00061793;0.00027960;0.00144843 
0.25391316;29.70506454;-0.00501809;0.00456479;-0.02047284;-0.00031935;-0.00067797;0.00172442 
0.25360966;29.95867419;-0.00498825;0.00456694;-0.02040558;-0.00024615;-0.00009092;0.00191628 
0.25252318;30.21119738;-0.00501909;0.00454451;-0.02040070;0.00052354;-0.00068720;0.00102709 
0.25995255;30.47114992;-0.00505113;0.00455141;-0.02025667;0.00009761;-0.00067788;0.00294912 
0.25839710;30.72954702;-0.00505235;0.00454111;-0.02021174;0.00058237;-0.00067630;0.00114947 
0.24218893;30.97173595;-0.00502902;0.00451661;-0.02020655;0.00006142;-0.00065673;0.00233448 
0.25230050;31.22403646;-0.00503660;0.00456383;-0.02018070;-0.00013418;-0.00100842;0.00166160 
0.25189495;31.47593141;-0.00496359;0.00463693;-0.02009334;-0.00022054;0.00000474;0.00142675 
0.25577021;31.73170161;-0.00493998;0.00471865;-0.02008803;-0.00009081;0.00051241;0.00137625 
0.25159597;31.98329759;-0.00496698;0.00475467;-0.02013311;-0.00025756;-0.00105060;0.00108092 
0.25409269;32.23739028;-0.00490244;0.00480388;-0.02009432;0.00086963;-0.00009968;0.00128143 
0.25739026;32.49478054;-0.00484935;0.00480945;-0.01999107;-0.00000398;-0.00008713;0.00062428 
0.24786091;32.74264145;-0.00482736;0.00484222;-0.01987673;-0.00018500;-0.00041885;0.00142177 
0.25766420;33.00030565;-0.00477962;0.00484245;-0.01983383;0.00013885;-0.00061871;0.00189811 
0.24757934;33.24788499;-0.00476143;0.00484154;-0.01976805;-0.00050877;-0.00086775;0.00127163 
0.25256681;33.50045180;-0.00480230;0.00483683;-0.01968163;-0.00007077;-0.00072730;0.00106453 
0.25203347;33.75248528;-0.00472158;0.00482229;-0.01959722;0.00009021;-0.00024219;0.00131799 
0.25131297;34.00379825;-0.00473057;0.00488339;-0.01957486;-0.00017740;-0.00093261;0.00108502 
0.25311804;34.25691628;-0.00465581;0.00490388;-0.01955823;0.00010427;0.00007132;0.00136555 
0.25208807;34.50900435;-0.00460892;0.00489897;-0.01944312;0.00047257;-0.00024712;0.00102975 
0.25212073;34.76112509;-0.00457076;0.00488310;-0.01935158;0.00067122;-0.00012101;0.00117308 
0.25189757;35.01302266;-0.00453465;0.00480808;-0.01933054;0.00050142;-0.00243292;-0.00011668 
0.24691939;35.25994205;-0.00449188;0.00478180;-0.01917659;0.00045118;-0.00095822;0.00802628 
0.25637817;35.51632023;-0.00453918;0.00476514;-0.01916266;-0.00104019;-0.00137932;0.00095498 
0.25670338;35.77302361;-0.00453192;0.00483407;-0.01904820;-0.00033865;0.00057101;0.00013452 
0.24642539;36.01944900;-0.00460053;0.00481141;-0.01905111;-0.00119605;0.00150083;-0.00046936 
0.25182605;36.27127504;-0.00457920;0.00479034;-0.01898848;-0.00008821;-0.00012173;-0.00034297 
0.25658584;36.52786088;-0.00458545;0.00482043;-0.01892363;-0.00060166;0.00073088;-0.00195250 
0.24649930;36.77436018;-0.00460430;0.00486152;-0.01887682;-0.00023872;0.00046179;-0.00164041 
0.25078511;37.02514529;-0.00455655;0.00484102;-0.01874359;-0.00059709;-0.00116037;0.00211674 
0.25743628;37.28258157;-0.00457182;0.00482665;-0.01865504;0.00006607;-0.00195271;0.00411432 
0.24662709;37.52920866;-0.00454547;0.00483142;-0.01857373;-0.00139325;-0.00025423;0.00277216 
0.25182343;37.78103209;-0.00452981;0.00479858;-0.01853966;0.00105719;0.00022156;0.00166538 
0.24608898;38.02712107;-0.00457794;0.00484593;-0.01851644;-0.00023752;0.00103594;-0.00119372 
0.25508523;38.28220630;-0.00461899;0.00481549;-0.01842850;-0.00051998;-0.00175148;0.00085995 
0.25697303;38.53917933;-0.00467394;0.00476579;-0.01834835;-0.00009070;-0.00108136;0.00123730 
0.24664044;38.78581977;-0.00468686;0.00476446;-0.01835412;-0.00075351;-0.00043636;-0.00149845 
0.25526524;39.04108500;-0.00471704;0.00465111;-0.01817581;-0.00032049;-0.00113342;0.00388580 
0.24572396;39.28680897;-0.00467955;0.00459740;-0.01814129;-0.00024167;-0.00226185;0.00161234 
0.25070834;39.53751731;-0.00473920;0.00456552;-0.01796831;-0.00000664;-0.00183588;0.00412350 
0.25840998;39.79592729;-0.00483789;0.00457702;-0.01793526;0.00003563;-0.00039486;0.00220701 
0.24387574;40.03980303;-0.00484081;0.00456837;-0.01786304;0.00018157;-0.00116225;-0.00011383 
0.25081778;40.29062080;-0.00484263;0.00451392;-0.01772951;-0.00007196;0.00008469;0.00226143 
0.25097752;40.54159832;-0.00491207;0.00448068;-0.01756883;-0.00058180;-0.00089045;0.00166747 
0.25101924;40.79261756;-0.00499482;0.00443190;-0.01748124;-0.00011762;-0.00005217;0.00170828 
0.25076342;41.04338098;-0.00501033;0.00436411;-0.01741543;0.00044335;-0.00137029;0.00253796 
0.25585914;41.29924011;-0.00501811;0.00429515;-0.01727384;0.00093465;-0.00162556;0.00089162 
0.25610638;41.55534649;-0.00504370;0.00429886;-0.01717285;0.00023048;-0.00103815;0.00022472 
0.24131131;41.79665780;-0.00505384;0.00422498;-0.01706721;-0.00014444;-0.00044164;0.00147276 
0.24573493;42.04239273;-0.00509977;0.00423210;-0.01701211;-0.00087159;-0.00048344;0.00121183 
0.25513196;42.29752469;-0.00510116;0.00425820;-0.01692048;-0.00057050;-0.00068818;0.00040364 
0.26843929;42.56596398;-0.00503044;0.00414959;-0.01682564;0.00029759;-0.00103401;0.00163158 
0.23082256;42.79678655;-0.00498303;0.00405567;-0.01668937;-0.00022428;-0.00129162;0.00171416 
0.26737761;43.06416416;-0.00497406;0.00400599;-0.01663413;0.00026353;-0.00083039;0.00127110 
0.23082209;43.29498625;-0.00497969;0.00400101;-0.01656537;-0.00079277;-0.00087044;0.00070022 
0.25545979;43.55044603;-0.00499087;0.00401323;-0.01644448;-0.00038010;-0.00098327;0.00193294 
0.24587655;43.79632258;-0.00497308;0.00398787;-0.01635233;0.00027880;-0.00050859;0.00177269 
0.25518131;44.05150390;-0.00497742;0.00392520;-0.01628548;-0.00011278;-0.00128230;0.00082117 
0.24614453;44.29764843;-0.00498240;0.00395548;-0.01613452;-0.00018609;-0.00127382;0.00249880 
0.25485873;44.55250716;-0.00490091;0.00389588;-0.01611693;0.00069473;-0.00054723;0.00040719 
0.26169991;44.81420708;-0.00481467;0.00392028;-0.01604651;0.00065045;-0.00069020;0.00200880 
0.23933291;45.05353999;-0.00482442;0.00384251;-0.01600885;0.00089764;-0.00053558;0.00200231 
0.25053287;45.30407286;-0.00485868;0.00381946;-0.01591432;0.00006089;-0.00025523;0.00072427 
0.25050950;45.55458236;-0.00483762;0.00380734;-0.01583332;0.00053023;-0.00030801;0.00044713 
0.24562955;45.80021191;-0.00485510;0.00383176;-0.01572803;-0.00071160;-0.00048690;0.00208627 
0.25094485;46.05115676;-0.00490239;0.00387451;-0.01564423;0.00003026;-0.00030801;0.00063841 
0.24940038;46.30055714;-0.00498068;0.00388924;-0.01556371;-0.00080822;-0.00038735;0.00159870 
0.25603580;46.55659294;-0.00496453;0.00390999;-0.01546094;-0.00089242;-0.00058966;0.00132821 
0.24782467;46.80441761;-0.00492313;0.00389646;-0.01538410;0.00023379;-0.00126908;0.00201781 
0.24758053;47.05199814;-0.00490990;0.00391208;-0.01525995;-0.00096687;-0.00060475;0.00193969 
0.25548244;47.30748057;-0.00496707;0.00398678;-0.01512468;-0.00024558;-0.00002104;0.00150491 
0.25557661;47.56305718;-0.00499140;0.00397115;-0.01494006;-0.00054034;-0.00161039;0.00186294 
0.23972225;47.80277944;-0.00502007;0.00394360;-0.01479453;-0.00039779;-0.00048771;0.00189186 
0.25047517;48.05325460;-0.00505884;0.00398959;-0.01467413;-0.00032921;-0.00012295;0.00099251 
0.25010204;48.30335665;-0.00503148;0.00398867;-0.01456935;0.00074399;-0.00097858;0.00169780 
0.25049138;48.55384803;-0.00507656;0.00395026;-0.01444500;-0.00006896;-0.00157751;0.00121668 
0.25016069;48.80400872;-0.00514318;0.00398133;-0.01439012;0.00004747;-0.00118841;0.00190502 
0.26559782;49.06960654;-0.00514853;0.00399851;-0.01425878;-0.00086900;-0.00002213;0.00259734 
0.23994517;49.30955172;-0.00515423;0.00399395;-0.01415584;-0.00048956;-0.00136195;0.00180958 
0.25033307;49.55988479;-0.00507966;0.00401542;-0.01402451;0.00042702;-0.00142039;0.00162524 
0.24563766;49.80552244;-0.00509492;0.00405007;-0.01390165;0.00023436;-0.00071431;0.00214046 
0.25014043;50.05566287;-0.00504255;0.00408360;-0.01385365;-0.00005523;-0.00035285;0.00242507 
0.27040577;50.32606864;-0.00502406;0.00415962;-0.01379982;-0.00053401;-0.00045824;0.00178140 
0.23333693;50.55940557;-0.00502259;0.00414051;-0.01366668;0.00014812;-0.00032198;0.00044549 
0.24647307;50.80587864;-0.00503933;0.00410530;-0.01360357;-0.00050945;-0.00017805;0.00208244 
