deltaTime(s)	Time(s)	Roll(rad)	Pitch(rad)	Yaw(rad)	RollSpeed(rad/s)	PitchSpeed(rad/s)	YawSpeed(rad/s)	Motor1(PWM)	Motor2(PWM)	Motor3(PWM)	Motor4(PWM)	
0.25008297 	28.26531982	-0.01222087	0.02487597	1.73958015	0.00048249	0.00006700	-0.00069703	900	900	900	900
0.45141530 	28.71673512	-0.01222876	0.02487042	1.73946416	0.00021624	0.00108070	-0.00069679	900	900	900	900
0.14395952 	28.86069465	-0.01226636	0.02489094	1.73938453	-0.00031377	-0.00147856	0.00012430	900	900	900	900
0.37645745 	29.23715210	-0.01225595	0.02491010	1.73923433	0.00082271	0.00082717	-0.00022200	900	900	900	900
0.26387763 	29.50102973	-0.01227944	0.02492370	1.73909497	-0.00241136	0.00073391	-0.00151301	900	900	900	900
0.26338291 	29.76441264	-0.01230549	0.02492708	1.73901618	0.00078550	-0.00064889	0.00118640	900	900	900	900
0.09632969 	29.86074233	-0.01232993	0.02491644	1.73897624	-0.00247686	-0.00104165	-0.00012396	900	900	900	900
0.42123103 	30.28197336	-0.01233303	0.02492733	1.73891258	-0.00078790	-0.00115562	0.00067032	900	900	900	900
0.31713772 	30.59911108	-0.01229528	0.02492362	1.73871601	-0.00046538	-0.00090436	-0.00070037	900	900	900	900
0.23496842 	30.83407950	-0.01232406	0.02498375	1.73861587	-0.00021153	0.00080423	-0.00122871	900	900	900	900
0.03321362 	30.86729312	-0.01231995	0.02506044	1.73858511	0.00064627	0.00008590	-0.00294371	900	900	900	900
0.22100806 	31.08830118	-0.01235652	0.02504851	1.73868513	-0.00005204	-0.00015262	-0.00009516	900	900	900	900
0.18839860 	31.27669978	-0.01241293	0.02508231	1.73850584	-0.00021460	0.00049375	-0.00050088	900	900	900	900
0.39282370 	31.66952348	-0.01241283	0.02509610	1.73826623	0.00077114	0.00018121	-0.00095475	900	900	900	900
0.47361875 	32.14314222	-0.01245863	0.02516449	1.73809493	0.00042408	-0.00033080	-0.00030673	900	900	900	900
0.06104922 	32.20419145	-0.01246834	0.02528207	1.73793578	0.00101397	0.00205898	-0.00124131	900	900	900	900
0.05997944 	32.26417089	-0.01251262	0.02524114	1.73783588	-0.00071118	0.00129853	0.00026967	900	900	900	900
0.44994402 	32.71411490	-0.01245914	0.02523193	1.73758996	-0.00024447	-0.00177822	0.00074695	900	900	900	900
0.07299685 	32.78711176	-0.01243809	0.02528007	1.73740804	0.00027824	0.00156263	-0.00139437	900	900	900	900
0.24504066 	33.03215241	-0.01246377	0.02528071	1.73721111	-0.00018365	0.00061738	0.00141130	900	900	900	900
0.30217528 	33.33432770	-0.01248847	0.02534033	1.73698318	-0.00086663	-0.00005687	-0.00048501	900	900	900	900
0.19011140 	33.52443910	-0.01246619	0.02539322	1.73684204	-0.00035972	-0.00177693	0.00250534	900	900	900	900
